sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,giftcard_type,giftcard_allow_open_amount,giftcard_open_amount_min,giftcard_open_amount_max,giftcard_amount,use_config_is_redeemable,giftcard_is_redeemable,use_config_lifetime,giftcard_lifetime,use_config_allow_message,giftcard_allow_message,use_config_email_template,giftcard_email_template,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,downloadable_links,downloadable_samples,associated_skus
"White Shirt",,"Fashion Tops",simple,"Default Category/Mens,Default Category/Mens/Shirts,Default Category,Default Category/Hot Deals,New Category,New Category/Hot Deals,New Category/Blogs","base,St","White Shirt",,"<p>Special edition from America </p>",,1,"Taxable Goods","Catalog, Search",900.000000,400.000000,21/10/22,,white-shirt,"White Shirt","White Shirt","White Shirt ",/d/o/download_1_.jpeg,,/d/o/download_1_.jpeg,,/d/o/download_1_.jpeg,,/d/o/download_1_.jpeg,,"11/8/22, 8:48 am","2/12/22, 10:25 am",2/12/22,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config","अमेरिकी समोआ","color=green,cost=450.000000,description_extra=Special edition from America ,fashion_color=Silver,fashion_material=Nylon,fashion_size=XL,fashion_style=Long Sleeve|Slim Fit|Full Length,gift_wrapping_available=Use config,has_video=No,is_featured=No,size=XL, L",194.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,"Black Shirt,Jeans Balck,Jeans blue","1,2,3",,,,,/d/o/download_1_.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Shirt",,sizes,simple,"Default Category/Mens,Default Category/Mens/Shirts,Default Category",base,"Black Shirt",,"<p>New Aruba black shirt for men</p>",,1,"Taxable Goods","Catalog, Search",25.000000,,,,black-shirt,"Black Shirt","Black Shirt","Black Shirt ",/d/o/download_2__1.jpeg,,/d/o/download_2__1.jpeg,,/d/o/download_2__1.jpeg,,/d/o/download_2__1.jpeg,,"11/8/22, 9:04 am","2/12/22, 10:25 am",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",अरूबा,"gift_wrapping_available=Use config,is_featured=No",200.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/d/o/download_2__1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeans Balck",,"Jeans Sizes",simple,"Default Category/Mens,Default Category/Mens/Jeans,Default Category",base,"Jeans Balck",,,2.000000,1,"Taxable Goods","Catalog, Search",50.000000,,,,jeans-balck,"Jeans Balck","Jeans Balck","Jeans Balck ",/d/o/download_3__1.jpeg,,/d/o/download_3__1.jpeg,,/d/o/download_3__1.jpeg,,/d/o/download_3__1.jpeg,,"11/8/22, 9:15 am","2/12/22, 10:25 am",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",ऑस्ट्रेलिया,"gift_wrapping_available=Use config,is_featured=No",200.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/d/o/download_3__1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeans blue",,"Jeans Sizes",simple,"Default Category/Mens/Jeans,Default Category",base,"Jeans blue",,,2.000000,1,"Taxable Goods","Catalog, Search",50.000000,,,,jeans-blue,"Jeans blue","Jeans blue","Jeans blue ",/d/o/download_4__1.jpeg,,/d/o/download_4__1.jpeg,,/d/o/download_4__1.jpeg,,/d/o/download_4__1.jpeg,,"11/8/22, 9:16 am","2/12/22, 10:26 am",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",बहामास,"gift_wrapping_available=Use config,is_featured=No",200.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/d/o/download_4__1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saree,,sizes,simple,"Default Category/Females,Default Category/Females/Saree wares,Default Category",base,Saree,,,2.000000,1,"Taxable Goods","Catalog, Search",800.000000,,,,saree,Saree,Saree,"Saree ",/s/a/sa.jpeg,,/s/a/sa.jpeg,,/s/a/sa.jpeg,,/s/a/sa.jpeg,,"11/8/22, 9:18 am","2/12/22, 10:26 am",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",बहरीन,"gift_wrapping_available=Use config,is_featured=No",160.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/s/a/sa.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppo,,Default,simple,"Default Category/Electronics,Default Category/Electronics/Mobiles,Default Category",base,Oppo,,"<p>Limited Edition</p>",8.000000,1,"Taxable Goods","Catalog, Search",20000.000000,,,,oppo,Oppo,Oppo,"Oppo ",/m/_/m.jpeg,,/m/_/m.jpeg,,/m/_/m.jpeg,,/m/_/m.jpeg,,"11/8/22, 9:19 am","2/12/22, 10:26 am",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",अरूबा,"gift_wrapping_available=Use config,is_featured=Yes",200.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/m/_/m.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nothing mobille",,Default,simple,"Default Category/Electronics,Default Category/Electronics/Mobiles,Default Category",base,"Nothing mobille",,,10.000000,1,"Taxable Goods","Catalog, Search",250.000000,,,,nothing-mobille,"Nothing mobille","Nothing mobille","Nothing mobille ",/m/o/mo.jpeg,,/m/o/mo.jpeg,,/m/o/mo.jpeg,,/m/o/mo.jpeg,,"11/8/22, 9:20 am","2/12/22, 10:24 am",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",एंडोरा,"gift_wrapping_available=Use config,is_featured=No",90.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/m/o/mo.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iphone 13 pro-white",,Default,simple,"Default Category/Electronics,Default Category/Electronics/Mobiles,Default Category",base,"Iphone 13 pro-white",,,10.000000,1,"Taxable Goods","Not Visible Individually",150000.000000,,,,iphone-13-pro-white,"Iphone 13 pro","Iphone 13 pro","Iphone 13 pro ",/i/p/ip3_2.jpeg,,/i/p/ip3_2.jpeg,,/i/p/ip3_2.jpeg,,/i/p/ip3_2.jpeg,,"18/8/22, 10:24 am","2/12/22, 10:24 am",,,"Block after Info Column",,,,No,"Solwin FreeGo Child",,,,"Product -- Full Width",,"Use config",चीन,"color=white,gift_wrapping_available=Yes,is_featured=No",90.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/i/p/ip3_2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iphone 13 pro-green",,Default,simple,"Default Category/Electronics,Default Category/Electronics/Mobiles,Default Category",base,"Iphone 13 pro-green",,,10.000000,1,"Taxable Goods",Catalog,150500.000000,,,,iphone-13-pro-green,"Iphone 13 pro","Iphone 13 pro","Iphone 13 pro ",/i/p/ip_1.jpeg,,/i/p/ip_1.jpeg,,/i/p/ip_1.jpeg,,/i/p/ip_1.jpeg,,"18/8/22, 10:24 am","2/12/22, 10:24 am",,,"Block after Info Column",,,,No,"Solwin FreeGo Child",,,,"Product -- Full Width",,"Use config",चीन,"color=green,gift_wrapping_available=Yes,is_featured=No",130.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/i/p/ip_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iphone 13 pro-black",,Default,simple,"Default Category/Electronics,Default Category/Electronics/Mobiles,Default Category",base,"Iphone 13 pro-black",,,10.000000,1,"Taxable Goods",Catalog,150005.000000,,,,iphone-13-pro-black,"Iphone 13 pro","Iphone 13 pro","Iphone 13 pro ",/i/p/ip4_1.jpeg,,/i/p/ip4_1.jpeg,,/i/p/ip4_1.jpeg,,/i/p/ip4_1.jpeg,,"18/8/22, 10:24 am","2/12/22, 10:23 am",,,"Block after Info Column",,,,No,"Solwin FreeGo Child",,,,"Product -- Full Width",,"Use config",चीन,"color=black,gift_wrapping_available=Yes,is_featured=No",100.0000,0.0000,1,0,2,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,0,1,,,,,,,/i/p/ip4_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,
